State,PII(types),Definition_of _PII,timeline_days(individual),Notification to AG,AG_type,AG_threshold,AG_days,Penalty
alabama,6,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, medical/health insurance info, username/email plus password or security Q&A, unique biometric identifiers (if unencrypted).",45,"Required if more than 1,000 residents notified; same timing as individuals (within 45 days).",conditional,1000,45,"Up to $5,000 per day for delay, maximum $500,000 per breach; enforced by Attorney General as unlawful trade practice; no private right of action."
alaska,3,"First name or first initial and last name plus SSN, drivers license or state ID number, or financial/credit/debit account number with required password, PIN, or access code. Includes passwords or access codes that permit access to an account. Encrypted or redacted data is excluded unless the encryption key was accessed.",Not specified,Required if the entity decides not to notify individuals because it determined the breach is unlikely to cause harm.,conditional,,,"Civil penalty up to $500 per resident not notified, capped at $50,000 per incident. Violations may also be treated as unfair or deceptive acts under Alaska law with potential additional remedies."
arizona,2,"An individual's first name or first initial and last name in combination with one or more specified data elements. An individual's user name or e-mail address, in combination with a password or security question and answer, that allows access to an online account. Does not include publicly available information that is lawfully made available to the general public from federal, state or local government records or widely distributed media.",45,"within 45 days after the determination that more than 1000 individuals must be notifiyed, along with the the Arizona dept of homeland security head and the 3 largest national consumer reporting agencies.",conditional,1000,45,"The attorney general may impose a civil penalty for a violation of this article not to exceed the lesser of $10,000 per affected individual or the total amount of economic loss sustained by affected individuals, but the maximum civil penalty from a breach or series of related breaches may not exceed $500,000."
arkansas,7,"Expanded to include name plus SSN, DL/state ID number, financial account info, biometric data, medical info, health insurance numbers, online account credentials (unencrypted/unredacted)",45,"Must notify AG if more than 1,000 residents affected, at the same time as notice to consumers or within 45 days of determining likelihood of harm",conditional,1000,45,"AG may bring action under Deceptive Trade Practices Act; civil penalties, private remedies possible"
california,1,"First name or first initial and last name plus SSN, drivers license number, California ID number, or account number with required password or access code. Does not include data that is encrypted or redacted.",Not specified,Required if more than 500 residents must be notified. A sample of the consumer notice must be submitted to the Attorney General.,conditional,500,,Individuals may bring a civil action if they are injured. The Attorney General may also take action for violations.
colorado,8,First name/initial + last name with: SSN; student/military/passport ID; driver/ID; medical information; health insurance ID; biometric data; username/email + password or security Q&A; or financial account/credit/debit number with code/password.,30,Notify Colorado Attorney General within 30 days if 500+ residents affected.,conditional,500,30,Civil penalties possible.
connecticut,7,"An individual's first name or first initial and last name in combination with one or more of the following: Social Security number; Driver's license number or state ID card number; Financial account number (e.g., credit/debit card) in combination with any required security code, access code, or password; Medical information or health insurance information; Biometric data; Taxpayer ID number; Username or email address in combination with a password or security question/answer.",60,"Must be provided ""not later than the time when notice is provided to the resident."" The AG has an online portal for this.",mandatory,,,A violation of the breach notification law is considered an **unfair trade practice** and is enforceable by the Attorney General under the Connecticut Unfair Trade Practices Act (CUTPA).
delaware,3,"Personal information means first name or first initial and last name combined with Social Security number, driverâ€™s license or state identification number, or account, credit, or debit card number with any required security or access code",60,Must notify the Attorney General if residents are notified,mandatory,,,Attorney General can seek enforcement; penalties may be imposed for non-compliance
florida,8,"First name or initial and last name, in combination with SSN; driverâ€™s license/state ID; passport; financial, medical, or health insurance info; email/username plus password or security Q&A; biometric data (if not encrypted).",30,"Required if breach affects more than 500 residents; written notice by 30 days including synopsis, number affected, services offered, contact info, and copy of notice to individuals.",conditional,500,30,"Civil penalties up to $500,000 for violations; Attorney General enforcement; potential unfair/deceptive trade practice liability."
georgia,4,"First name or initial and last name in combination with any of: SSN, driverâ€™s license/state ID, account/credit/debit card numbers (with access codes/password), account password or PIN; or any of those elements alone if sufficient for ID theft. Applies only if unencrypted or unredacted.",Not specified,No explicit requirement for AG notice; but other regulatory notice may apply for specific regulated entities.,none,,,Unfair/deceptive practice enforceable by the Attorney General; no private right of action; penalties as determined under GA Fair Business Practices Act.
hawaii,1,"First name or first initial and last name plus SSN, driverâ€™s license number, Hawaii ID card number, or account, credit, or debit card number with access code or password that permits access to a financial account. Does not include publicly available information from government records. Encrypted or redacted data is excluded unless the key or process is also acquired.",Not specified,"If a business notifies more than 1,000 persons at one time, it must, without unreasonable delay, notify the State of Hawaii Office of Consumer Protection of the timing, distribution, and content of the consumer notice.",conditional,1000,,"Businesses may face civil penalties up to 2,500 dollars per violation and are liable for actual damages to injured persons. Actions may be brought by the Attorney General or Office of Consumer Protection. Injured individuals can also bring civil actions and may recover attorneysâ€™ fees. Penalties are in addition to other remedies under Hawaii law."
idaho,3,First name/initial + last name with: SSN; driver/ID number; account/credit/debit number with required code/password.,Not specified,Public agencies must notify AG within 24 hours of discovery. No AG notice required for private entities.,mandatory,,,Civil penalties available.
illinois,6,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, medical/health insurance info, username/email plus password or security Q&A, unique biometric identifiers (if unencrypted).",Not specified,Notice shall be made in the most expedient time possible and without unreasonable delay.,mandatory,,,"Any person, including but not limited to a third party referenced in subsection (c), who violates this Section is subject to a civil penalty of not more than $100 for each individual with respect to whom personal information is disposed of in violation of this Section. A civil penalty may not, however, exceed $50,000 for each instance of improper disposal of materials containing personal information. The Attorney General may impose a civil penalty after notice to the person accused of violating this Section and an opportunity for that person to be heard in the matter. The Attorney General may file a civil action in the circuit court to recover any penalty imposed under this Section.Â Â Â Â (e) In addition to the authority to impose a civil penalty under subsection (d), the Attorney General may bring an action in the circuit court to remedy a violation of this Section, seeking any appropriate relief.Â Â Â Â (f) A financial institution under 15 U.S.C. 6801 et. seq. or any person subject to 15 U.S.C. 1681w is exempt from this Section."
indiana,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Not specified,Notice shall be made without unreasonable delay.,mandatory,,,Not specified
iowa,5,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, username/email plus password or security Q&A, unique biometric identifiers (if unencrypted).",Conitional,Notice shall be made in the most expeditious manner possible and without unreasonable delay.,mandatory,,,The attorney general shall enforce this section
kansas,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Not specified,Notice shall be made in the most expeditious manner possible and without unreasonable delay.,mandatory,,,"For violations of this section, except as to insurance companies licensed to do business in this state, the attorney general is empowered to bring an action in law or equity to address violations of this section and for other relief that may be appropriate."
kentucky,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Conditional,Not specified,none,,,Not specified
massachusetts,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Not specified,Notice shall be made in the most expeditious manner possible and without unreasonable delay.,mandatory,,,A violation is treated as an **unfair or deceptive act or practice** under Mass. Gen. Laws ch. 93A. The Attorney General may bring an action to seek injunctive relief and civil penalties.
michigan,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Conditional,Notice must be made without unreasonable delay after discovery of the breach.,mandatory,,,"(h)â€ƒFor violations of this section by an insurance company licensed to do business in this state, the insurance commissioner shall have the sole authority to enforce the provisions of this section."
minnesota,3,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password",Not Specified,Not Specified,none,,,The attorney general shall enforce this section
mississippi,3,"First name or initial and last name, in combination with (a) SSN, (b) driverâ€™s license/state ID number, (c) account/credit/debit card plus password or access code. Applies only if unencrypted/unredacted.",Not Specified,Only required if insurance-specific or >100 residdednts with senate bill 2046,conditional,100,,"Failure to comply constitutes an unfair trade practice, enforceable by the Attorney General; no private right of action specified; possible civil penalties."
missouri,9,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, medical/health insurance info, username/email plus password or security Q&A",Conditional,"Required if more than 1,000 residents notified",c,1000,,The attorney general shall have exclusive authority to bring an action to obtain actual damages for a willful and knowing violation of this section and may seek a civil penalty not to exceed one hundred fifty thousand dollars per breach of the security of the system or series of breaches of a similar nature that are discovered in a single investigation.
montana,12,"""Personal information"" means an individual's first name or first initial and last name in combination with any one or more of the following data elements, when either the name or the data elements are not encrypted:
 (A) social security number;
 (B) driver's license number, state identification card number, or tribal identification card number;
 (C) account number or credit or debit card number, in combination with any required security code, access code, or password that would permit access to an individual's financial account;
 (D) medical record information as defined in 33-19-104;
 (E) a taxpayer identification number; or
 (F) an identity protection personal identification number issued by the United States internal revenue service.
 (ii) Personal information does not include publicly available information that is lawfully made available to the general public from federal, state, or local government records.","The disclosure must be made without unreasonable delay, consistent with the legitimate needs of law enforcement, as provided in subsection (3), or consistent with any measures necessary to determine the scope of the breach and restore the reasonable integrity of the data system.","submit an electronic copy of the notification and a statement providing the date and method of distribution of the notification to the attorney general's consumer protection office, excluding any information that personally identifies any individual who is entitled to receive notification.",mandatory,,,"(2) In an action brought under 30-14-111, if the court finds that a person is willfully using or has willfully used a method, act, or practice declared unlawful by 30-14-103, the department, upon petition to the court, may recover on behalf of the state a civil fine of not more than $10,000 for each violation. The fine provided for in this subsection is in addition to any liability that a person might be subject to under subsection (1).
 
 (3) A person who engages in a fraudulent course of conduct declared unlawful by 30-14-103 shall upon conviction be fined an amount not more than $5,000, imprisoned for not more than 1 year, or both, in the discretion of the court. This subsection does not limit any other provision of this part.
 
 (4) For purposes of this section, a willful violation occurs when the party committing the violation knew or should have known that the conduct was a violation of 30-14-103."
nebraska,7,"First name/initial and last name in combination with one or more of: SSN, DL/State ID, Financial Account # + Access Code/Password, Electronic ID/Email + Password, Health Info, Biometric Data, Military ID, Passport ID, or Tax ID.",As soon as possible and without unreasonable delay,Required: Not later than the time notice is provided to the Nebraska resident.,mandatory,,,Enforced by the AG; violation is an unlawful act or practice under the Consumer Protection Act.
nevada,5,"First name/initial and last name in combination with any one or more of: SSN, DL/ID Card #, Financial Account # + Access Code/Password, Medical/Health Insurance ID, or Username/Email + Password/Security Q&A",Not later than 30 days,Not explicitly required by statute. AG suggests voluntary notice via email.,none,,,"civil penalty not to exceed $5,000 for each violation"
new_hampshire,3,"First name/initial and last name in combination with any one or more of: SSN, DL/Other Gov't ID #, or Account # + Access Code/Password.",As sooon as possible,"The notice shall include the anticipated date of the notice to the
 individuals and the approximate number of individuals in this state who will be
 notified. Nothing in this section shall be construed to require the person to provide
 to any regulator or the New Hampshire attorney general's office the names of the
 individuals entitled to receive the notice or any personal information relating to
 them. The disclosure shall be made to affected individuals as quickly as possible,
 after the determination required under this section",mandatory,,,
new_jersey,5,"First name/initial and last name in combination with one or more of: SSN, DL/State ID, Account/Card # + Access Code/Password, Medical History/Treatment, or Health Insurance Info.",most expedient time possible and without unreasonable delay,"Required, must report breach to AG in advance of consumers",c,,,"penalty of not more than $10,000 for the first offense and not more than $20,000 for the second and each subsequent offense"
new_mexico,5,"First name/initial and last name in combination with one or more of: SSN, DL/State ID, Financial Account # + Access Code/Password, Unique Biometric Data, or Medical/Health Insurance Info.",45 days,Mandatory,m,,,
new_york,8,"Private information is personal information (first name/initial and last name) + (1) social security number;
 
 (2) driver's license number or non-driver identification card number;
 
 (3) account number, credit or debit card number, in combination with
 any required security code, access code, password or other information
 that would permit access to an individual's financial account;
 
 (4) account number, credit or debit card number, if circumstances
 exist wherein such number could be used to access an individual's
 financial account without additional identifying information, security
 code, access code, or password; or
 
 (5) biometric information, meaning data generated by electronic
 measurements of an individual's unique physical characteristics, such as
 a fingerprint, voice print, retina or iris image, or other unique
 physical representation or digital representation of biometric data
 which are used to authenticate or ascertain the individual's identity;
 or
 
 (6) medical information, meaning any information regarding an
 individual's medical history, mental or physical condition, or medical
 treatment or diagnosis by a health care professional; or
 
 (7) health insurance information, meaning an individual's health
 insurance policy number or subscriber identification number, any unique
 identifier used by a health insurer to identify the individual or any
 information in an individual's application and claims history, including
 but not limited to, appeals history; or
 
 (ii) a user name or e-mail address in combination with a password or
 security question and answer that would permit access to an online
 account",30 days,"If the incident affects over five
 hundred residents of New York, the person or business shall provide the
 written determination to the state attorney general within ten days
 after the determination.",conditional,500,10,"Failure to notify: up to **$20 per instance** (max $250,000). Failure to maintain safeguards: up to $5,000 per violation."
north_carolina,3,"First name/initial and last name in combination with one or more of: SSN, DL/State ID, or Financial Account # + Access Code/Password.",Without unreasonable delay,Required if notice is provided to affected consumers,mandatory,,,Violation of G.S. 75-1.1
north_dakota,6,"First name/initial and last name in combination with any one of the following: SSN, DL/State ID, Financial Account # + Access Code/Password, Date of Birth, Mother's Maiden Name, or Any other data element that allows the business to physically or electronically contact the individual.",Without unreasonable delay,Disclose to AG if breach exceeds 250 individuals,conditional,250,,Civil Penalties Up to $5000
ohio,3,"First name/initial and last name in combination with any one or more of: SSN, DL/State ID, or Account/Card # + Access Code/Password.",Expediently as possible within 45 days,"Not required, but must report to consumer reporting agency if more than 1000 residents affected",none,1000,,
oklahoma,3,"First name/initial and last name in combination with any one or more of: SSN, DL #, or Account/Card # + Access Code/Password.",Expediently and without unreasonable delay,Not specified,none,,,
